,Product Name,Price,Ratings,Image Url
0,"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹24,999",4.5,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/flipkart-plus_8d85f4.png
1,"Motorola G85 5G (Viva Magenta, 128 GB)","₹17,999",4.4,No Image
2,"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹17,499",4.4,No Image
3,"Motorola g45 5G (Brilliant Blue, 128 GB)","₹12,999",4.4,No Image
4,"Infinix Note 40 5G (Obsidian Black, 256 GB)","₹15,999",4.2,No Image
5,"realme P2 Pro 5G (Eagle Grey, 256 GB)","₹21,999",4.4,No Image
6,"Infinix Note 40X 5G (Lime Green, 256 GB)","₹12,999",4.2,No Image
7,"Motorola g64 5G (Pearl Blue, 128 GB)","₹14,999",4.3,No Image
8,"REDMI Note 14 5G (Titan Black, 128 GB)","₹19,980",4.3,No Image
9,"CMF by Nothing Phone 1 (Black, 128 GB)","₹17,499",4.4,No Image
10,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 256 GB)","₹14,999",4.4,No Image
11,"Motorola g64 5G (Mint Green, 256 GB)","₹16,999",4.2,No Image
12,"Nothing Phone (2a) 5G (White, 128 GB)","₹21,999",4.4,No Image
13,"Infinix GT 20 Pro (Mecha Silver, 256 GB)","₹25,999",4.3,No Image
14,"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)","₹17,290",4.4,No Image
15,"Motorola G85 5G (Urban Grey, 128 GB)","₹17,999",4.4,No Image
16,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,299",4.4,No Image
17,"Motorola g45 5G (Pink Lavender, 128 GB)","₹12,999",4.4,No Image
18,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹17,740",4.4,No Image
19,"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹41,480",4.6,No Image
20,"Infinix Note 40X 5G (Palm Blue, 256 GB)","₹13,999",4.3,No Image
21,"realme 12x 5G (Coral Red, 128 GB)","₹13,499",4.4,No Image
22,"realme NARZO 70X 5G (Ice Blue, 128 GB)","₹12,372",4.3,No Image
23,"realme 14x 5G (Jewel Red, 128 GB)","₹15,999",4.4,No Image
